comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,W 2–0,cd051869,18bb7c10,1,90,0,0,0,0,0,0,0,0,38,3,0,2,0.0,0.0,0.0,2,0,21,25,84.0,3,12,1,1,0,2021-08-13,3adf2aa7
Premier League,Matchweek 2,D 0–0,cd051869,47c64c55,1,90,0,0,0,0,0,0,0,0,46,0,3,1,0.0,0.0,0.1,5,0,25,35,71.4,1,25,4,4,3,2021-08-21,c8945d11
Premier League,Matchweek 3,D 1–1,cd051869,8602292d,1,90,0,0,0,0,1,0,0,0,49,0,0,1,0.1,0.1,0.1,2,0,23,35,65.7,3,30,2,6,2,2021-08-28,a08ef96c
Premier League,Matchweek 4,L 0–1,cd051869,d07537b9,1,90,0,0,0,0,0,0,0,0,49,2,1,2,0.0,0.0,0.0,1,0,25,38,65.8,5,30,3,1,0,2021-09-11,19a03697
Premier League,Matchweek 5,W 2–0,cd051869,8cec06e1,1,74,0,0,0,0,0,0,1,0,30,0,0,1,0.0,0.0,0.0,0,0,19,22,86.4,1,13,1,1,0,2021-09-18,fd1d60f4
Premier League,Matchweek 6,D 3–3,cd051869,822bd0ba,1,90,0,0,0,0,1,0,0,0,33,2,1,1,0.0,0.0,0.0,1,0,18,22,81.8,3,20,1,4,2,2021-09-25,87140543
Premier League,Matchweek 7,W 2–1,cd051869,7c21e445,1,90,0,0,0,0,0,0,0,0,41,0,1,2,0.0,0.0,0.1,5,0,19,30,63.3,3,20,1,1,1,2021-10-03,f1eead63
Premier League,Matchweek 8,L 0–1,cd051869,cff3d9bb,1,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.2,2,0,20,29,69.0,4,14,1,3,2,2021-10-16,866cfb1f
Premier League,Matchweek 9,L 1–2,cd051869,a2d435b3,1,90,0,0,0,0,1,0,0,0,51,0,0,1,0.0,0.0,0.0,0,0,27,43,62.8,2,32,3,2,1,2021-10-24,b5c25937
Premier League,Matchweek 10,L 1–3,cd051869,943e8050,1,90,0,0,0,0,0,0,0,0,53,0,1,0,0.0,0.0,0.0,2,0,31,47,66.0,2,26,1,0,0,2021-10-30,c8915e9e
Premier League,Matchweek 11,L 1–2,cd051869,1c781004,1,68,1,0,0,0,1,1,0,0,55,0,0,0,0.5,0.5,0.0,0,0,41,47,87.2,1,36,2,2,2,2021-11-06,0f029791
Premier League,Matchweek 12,D 3–3,cd051869,b2b47a98,1,90,1,0,0,0,1,1,0,0,51,0,0,1,0.3,0.3,0.0,3,0,31,41,75.6,5,31,1,2,0,2021-11-20,adbf56bc
Premier League,Matchweek 13,W 1–0,cd051869,d3fd31cc,1,76,0,0,0,0,0,0,0,0,29,0,2,0,0.0,0.0,0.0,1,1,18,23,78.3,3,17,2,3,1,2021-11-28,286c4c1c
Premier League,Matchweek 14,L 0–2,cd051869,361ca564,1,90,0,0,0,0,0,0,0,0,65,0,1,2,0.0,0.0,0.0,1,0,42,56,75.0,1,39,1,0,0,2021-12-02,a80b3790
Premier League,Matchweek 15,D 2–2,cd051869,5bfb9659,1,90,0,0,0,0,0,0,1,0,39,0,3,1,0.0,0.0,0.0,2,2,22,28,78.6,2,17,1,3,2,2021-12-05,175160b7
Premier League,Matchweek 16,W 2–1,cd051869,2abfe087,1,76,0,0,0,0,2,0,0,0,52,2,2,0,0.1,0.1,0.0,2,0,25,43,58.1,2,26,1,1,0,2021-12-10,49a36a4e
Premier League,Matchweek 22,L 0–3,cd051869,822bd0ba,1,48,0,0,0,0,0,0,0,0,29,0,1,2,0.0,0.0,0.0,0,0,9,18,50.0,1,10,1,2,1,2022-01-16,c8c457d6
Premier League,Matchweek 17,L 1–3,cd051869,19538871,0,27,0,0,0,0,0,0,0,0,22,0,0,1,0.0,0.0,0.0,0,0,8,17,47.1,0,12,0,1,0,2022-01-19,f7c0bd68
Premier League,Matchweek 23,L 1–2,cd051869,8cec06e1,1,25,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,1,0,5,7,71.4,0,4,0,1,1,2022-01-22,9f91ec9b
Premier League,Matchweek 24,L 0–2,cd051869,b8fd03ef,1,90,0,0,0,0,1,0,0,0,31,1,1,0,0.2,0.2,0.0,1,0,9,16,56.3,0,15,2,1,0,2022-02-09,3b077554
Premier League,Matchweek 25,D 0–0,cd051869,47c64c55,1,90,0,0,0,0,1,0,0,0,53,3,1,0,0.1,0.1,0.0,2,0,30,40,75.0,3,17,4,0,0,2022-02-12,427597d4
Premier League,Matchweek 26,L 1–2,cd051869,18bb7c10,1,90,0,0,0,0,0,0,0,0,31,2,0,1,0.0,0.0,0.0,0,0,14,18,77.8,0,20,1,0,0,2022-02-19,401c8cc8
Premier League,Matchweek 27,L 0–2,cd051869,b2b47a98,1,90,0,0,0,0,0,0,0,0,53,0,0,2,0.0,0.0,0.0,0,0,27,38,71.1,1,23,1,3,0,2022-02-26,fd61d442
Premier League,Matchweek 28,W 3–1,cd051869,1c781004,1,90,0,0,0,0,0,0,0,0,51,5,1,0,0.0,0.0,0.0,0,0,25,33,75.8,3,14,0,3,0,2022-03-05,fcb61cff
Premier League,Matchweek 29,W 2–0,cd051869,943e8050,1,90,0,0,0,0,1,0,0,0,80,0,1,2,0.0,0.0,0.0,2,0,45,68,66.2,4,42,1,3,1,2022-03-12,9718a901
Premier League,Matchweek 30,L 1–2,cd051869,a2d435b3,1,73,0,0,0,0,0,0,0,0,49,0,0,0,0.0,0.0,0.0,2,0,35,43,81.4,5,27,5,1,1,2022-03-20,c8c7dd9b
Premier League,Matchweek 31,W 4–1,cd051869,cff3d9bb,1,87,0,0,0,0,0,0,0,0,27,3,1,0,0.0,0.0,0.1,1,0,14,19,73.7,1,13,0,0,0,2022-04-02,c0037074
Premier League,Matchweek 32,W 2–0,cd051869,7c21e445,1,90,0,0,0,0,0,0,0,0,64,1,0,1,0.0,0.0,0.1,3,1,47,57,82.5,3,24,1,0,0,2022-04-10,6bb36736
Premier League,Matchweek 33,W 2–1,cd051869,2abfe087,1,90,0,0,0,0,0,0,0,0,66,1,0,2,0.0,0.0,0.1,1,0,33,51,64.7,5,32,4,2,2,2022-04-16,3b17352d
Premier League,Matchweek 34,D 0–0,cd051869,361ca564,1,90,0,0,0,0,0,0,0,0,45,0,0,3,0.0,0.0,0.1,3,0,30,38,78.9,4,24,3,2,1,2022-04-23,9c939b7f
Premier League,Matchweek 35,L 0–3,cd051869,19538871,1,90,0,0,0,0,1,0,0,0,42,0,0,0,0.0,0.0,0.0,1,0,24,37,64.9,1,23,4,2,0,2022-05-02,c9b4c96a
Premier League,Matchweek 36,W 3–0,cd051869,33c895d4,1,90,0,0,0,0,0,0,0,0,42,1,1,1,0.0,0.0,0.6,3,0,28,34,82.4,2,24,1,2,1,2022-05-07,74a74729
Premier League,Matchweek 37,W 3–2,cd051869,d3fd31cc,1,90,1,0,0,0,3,3,0,0,84,0,1,1,0.2,0.2,0.0,1,0,57,76,75.0,6,45,6,3,3,2022-05-15,1b07c16e
Premier League,Matchweek 38,L 1–2,cd051869,5bfb9659,1,62,0,0,0,0,0,0,0,0,50,1,3,0,0.0,0.0,0.0,0,0,29,41,70.7,1,26,1,0,0,2022-05-22,076ca089
