comp,round,result,squad,opponent,start,min,performance_sota,performance_ga,performance_saves,performance_save%,performance_cs,performance_psxg,penalty kicks_pkatt,penalty kicks_pka,penalty kicks_pksv,penalty kicks_pkm,launched_cmp,launched_att,launched_cmp%,passes_att (gk),passes_thr,passes_launch%,passes_avglen,goal kicks_att,goal kicks_launch%,goal kicks_avglen,crosses_opp,crosses_stp,crosses_stp%,sweeper_#opa,sweeper_avgdist,date,match_id
Premier League,Matchweek 1,W 4–3,822bd0ba,5bfb9659,1,90,3,3,0,0.0,0,0.5,0,0,0,0,2,11,18.2,25,4,32.0,28.8,3,100.0,69.3,7,1,14.3,0,7.7,2020-09-12,21b58926
Premier League,Matchweek 2,W 2–0,822bd0ba,cff3d9bb,1,90,3,0,2,100.0,1,1.3,1,0,1,0,2,2,100.0,22,5,9.1,21.9,2,0.0,14.5,3,0,0.0,1,21.0,2020-09-20,c64e5792
Premier League,Matchweek 3,W 3–1,822bd0ba,18bb7c10,1,90,3,1,2,66.7,0,2.0,0,0,0,0,4,8,50.0,38,1,18.4,27.8,3,33.3,28.0,7,0,0.0,4,27.5,2020-09-28,ebe4e309
Premier League,Matchweek 6,W 2–1,822bd0ba,1df6b87e,1,90,2,1,1,100.0,0,1.0,1,1,0,0,3,12,25.0,26,1,30.8,32.8,8,50.0,36.0,14,0,0.0,0,9.0,2020-10-24,0bc8d984
Premier League,Matchweek 7,W 2–1,822bd0ba,7c21e445,1,90,3,1,2,66.7,0,0.6,0,0,0,0,1,4,25.0,18,6,16.7,24.2,3,33.3,38.3,12,0,0.0,1,29.0,2020-10-31,56ad8025
Premier League,Matchweek 8,D 1–1,822bd0ba,b8fd03ef,1,90,2,1,1,50.0,0,0.3,1,0,0,1,4,13,30.8,40,3,30.0,29.1,7,14.3,22.7,6,1,16.7,3,20.3,2020-11-08,26382194
Premier League,Matchweek 9,W 3–0,822bd0ba,a2d435b3,1,90,4,0,4,100.0,1,1.0,0,0,0,0,1,6,16.7,20,6,15.0,28.8,8,37.5,33.8,14,0,0.0,4,21.3,2020-11-22,cc230451
Premier League,Matchweek 10,D 1–1,822bd0ba,d07537b9,1,90,3,1,2,100.0,0,1.3,2,1,0,1,6,13,46.2,25,7,28.0,31.5,11,54.5,40.1,11,0,0.0,6,21.8,2020-11-28,31baf354
Premier League,Matchweek 12,D 1–1,822bd0ba,fd962109,1,90,5,1,4,80.0,0,1.7,0,0,0,0,1,2,50.0,20,2,5.0,23.2,7,14.3,23.4,15,0,0.0,5,27.2,2020-12-13,5abb0bd1
Premier League,Matchweek 13,W 2–1,822bd0ba,361ca564,1,90,2,1,1,50.0,0,0.8,0,0,0,0,0,4,0.0,20,5,15.0,27.7,7,14.3,26.7,7,0,0.0,4,17.6,2020-12-16,966f86fe
Premier League,Matchweek 14,W 7–0,822bd0ba,47c64c55,1,90,3,0,3,100.0,1,0.3,0,0,0,0,1,4,25.0,27,5,11.1,25.1,3,33.3,28.7,7,0,0.0,2,15.6,2020-12-19,d05715a8
Premier League,Matchweek 15,D 1–1,822bd0ba,60c6b05f,1,90,3,1,2,66.7,0,1.0,0,0,0,0,0,2,0.0,24,7,8.3,25.3,4,0.0,19.3,7,2,28.6,3,17.2,2020-12-27,daa09f69
Premier League,Matchweek 16,D 0–0,822bd0ba,b2b47a98,1,90,2,0,2,100.0,1,0.1,0,0,0,0,1,3,33.3,22,5,9.1,24.7,5,20.0,31.2,16,0,0.0,1,10.8,2020-12-30,385cda3f
Premier League,Matchweek 17,L 0–1,822bd0ba,33c895d4,1,90,2,1,1,50.0,0,0.9,0,0,0,0,2,5,40.0,37,8,13.5,25.1,3,0.0,23.0,2,0,0.0,9,24.2,2021-01-04,d0482032
Premier League,Matchweek 19,D 0–0,822bd0ba,19538871,1,90,4,0,4,100.0,1,0.9,0,0,0,0,1,3,33.3,36,4,8.3,25.6,3,0.0,18.3,9,0,0.0,2,20.3,2021-01-17,7e1384ef
Premier League,Matchweek 18,L 0–1,822bd0ba,943e8050,1,90,4,1,3,100.0,0,1.5,1,1,0,0,2,4,50.0,39,8,10.3,22.4,5,0.0,15.4,8,2,25.0,3,19.0,2021-01-21,787d11cc
Premier League,Matchweek 20,W 3–1,822bd0ba,361ca564,1,90,2,1,1,50.0,0,0.4,0,0,0,0,1,3,33.3,35,9,5.7,25.1,3,33.3,41.3,3,1,33.3,2,15.3,2021-01-28,17bac3d1
Premier League,Matchweek 21,W 3–1,822bd0ba,7c21e445,1,90,2,1,1,50.0,0,0.6,0,0,0,0,2,5,40.0,32,4,9.4,22.7,7,28.6,24.3,15,0,0.0,5,26.7,2021-01-31,3de3a736
Premier League,Matchweek 23,L 1–4,822bd0ba,b8fd03ef,1,90,5,4,1,20.0,0,3.0,1,0,0,1,2,5,40.0,42,0,11.9,20.9,3,0.0,17.0,5,0,0.0,1,17.3,2021-02-07,e044d71d
Premier League,Matchweek 24,L 1–3,822bd0ba,a2d435b3,1,90,6,3,3,50.0,0,2.0,0,0,0,0,2,3,66.7,29,9,3.4,23.2,4,50.0,35.0,5,0,0.0,4,25.8,2021-02-13,666f6961
Premier League,Matchweek 25,L 0–2,822bd0ba,d3fd31cc,1,90,6,2,4,83.3,0,2.4,1,1,0,0,1,4,25.0,29,2,13.8,24.9,4,0.0,28.8,6,0,0.0,3,21.3,2021-02-20,e4ac45fb
Premier League,Matchweek 29,L 0–1,822bd0ba,cff3d9bb,1,90,4,1,3,75.0,0,1.0,0,0,0,0,2,3,66.7,43,6,4.7,24.4,4,25.0,33.5,8,0,0.0,1,28.0,2021-03-04,86920e88
Premier League,Matchweek 27,L 0–1,822bd0ba,fd962109,1,90,3,1,2,66.7,0,2.0,0,0,0,0,2,4,50.0,25,4,16.0,24.0,8,0.0,19.1,12,1,8.3,3,25.0,2021-03-07,5826a836
Premier League,Matchweek 28,W 1–0,822bd0ba,8cec06e1,1,90,5,0,5,100.0,1,1.4,0,0,0,0,4,10,40.0,32,7,25.0,30.7,3,66.7,45.0,22,1,4.5,1,8.6,2021-03-15,ad3063c2
Premier League,Matchweek 30,W 3–0,822bd0ba,18bb7c10,1,90,2,0,2,100.0,1,0.6,0,0,0,0,5,7,71.4,41,4,14.6,26.6,1,100.0,63.0,4,1,25.0,1,19.5,2021-04-03,562d1981
Premier League,Matchweek 31,W 2–1,822bd0ba,8602292d,1,90,5,1,4,80.0,0,0.6,0,0,0,0,4,7,57.1,30,5,16.7,25.5,11,18.2,27.7,5,0,0.0,6,24.4,2021-04-10,20bdebdc
Premier League,Matchweek 32,D 1–1,822bd0ba,5bfb9659,1,90,5,1,4,80.0,0,1.4,0,0,0,0,3,7,42.9,25,5,16.0,25.8,7,42.9,36.9,23,2,8.7,2,12.6,2021-04-19,6c0666e6
Premier League,Matchweek 33,D 1–1,822bd0ba,b2b47a98,1,90,4,1,3,75.0,0,1.0,0,0,0,0,2,2,100.0,33,4,6.1,21.6,4,0.0,19.5,12,1,8.3,5,22.0,2021-04-24,81e8aaf4
Premier League,Matchweek 35,W 2–0,822bd0ba,33c895d4,1,90,6,0,6,100.0,1,0.9,0,0,0,0,1,5,20.0,37,9,13.5,27.1,4,0.0,20.3,9,1,11.1,2,13.9,2021-05-08,e5923f92
Premier League,Matchweek 34,W 4–2,822bd0ba,19538871,1,90,2,2,0,0.0,0,0.6,0,0,0,0,4,14,28.6,30,7,26.7,29.5,10,60.0,43.8,17,1,5.9,1,15.0,2021-05-13,9f0275a4
Premier League,Matchweek 36,W 2–1,822bd0ba,60c6b05f,1,90,3,1,2,66.7,0,0.9,0,0,0,0,0,2,0.0,29,4,6.9,23.6,4,0.0,22.3,19,1,5.3,0,10.0,2021-05-16,6a834f6e
Premier League,Matchweek 37,W 3–0,822bd0ba,943e8050,1,90,3,0,3,100.0,1,0.5,0,0,0,0,3,11,27.3,29,6,24.1,27.3,9,44.4,40.0,30,4,13.3,1,9.1,2021-05-19,33d72496
Premier League,Matchweek 38,W 2–0,822bd0ba,47c64c55,1,90,4,0,4,100.0,1,0.4,0,0,0,0,5,6,83.3,20,3,25.0,22.8,5,20.0,21.4,1,0,0.0,1,23.0,2021-05-23,c2fc07f0
