comp,round,result,squad,opponent,start,min,performance_gls,performance_ast,performance_pk,performance_pkatt,performance_sh,performance_sot,performance_crdy,performance_crdr,performance_touches,performance_tkl,performance_int,performance_blocks,expected_xg,expected_npxg,expected_xag,sca_sca,sca_gca,passes_cmp,passes_att,passes_cmp%,passes_prgp,carries_carries,carries_prgc,take-ons_att,take-ons_succ,date,match_id
Premier League,Matchweek 1,L 0–3,60c6b05f,a2d435b3,1,90,0,0,0,0,3,1,0,0,51,1,1,0,0.2,0.2,0.0,1,0,26,36,72.2,3,24,0,5,1,2020-09-13,7dd01ca9
Premier League,Matchweek 2,L 2–5,60c6b05f,d3fd31cc,1,70,1,1,0,0,1,1,0,0,36,0,2,0,0.1,0.1,0.1,2,2,20,26,76.9,4,17,2,3,1,2020-09-19,45bd1880
Premier League,Matchweek 3,D 3–3,60c6b05f,cff3d9bb,1,89,0,1,0,0,0,0,0,0,54,1,0,1,0.0,0.0,0.1,4,1,29,39,74.4,5,22,3,3,2,2020-09-26,d725a16c
Premier League,Matchweek 4,L 0–2,60c6b05f,33c895d4,1,90,0,0,0,0,1,0,0,0,53,1,1,4,0.0,0.0,0.1,1,0,22,37,59.5,1,17,0,4,2,2020-10-04,39864083
Premier League,Matchweek 5,D 0–0,60c6b05f,943e8050,1,87,0,0,0,0,3,2,0,0,58,0,0,2,0.1,0.1,0.3,7,0,37,48,77.1,5,25,3,0,0,2020-10-19,13f3ae88
Premier League,Matchweek 6,D 1–1,60c6b05f,d07537b9,1,90,0,0,0,0,3,0,0,0,64,0,2,0,0.1,0.1,0.0,4,0,40,51,78.4,10,38,1,3,1,2020-10-26,26452511
Premier League,Matchweek 7,L 0–2,60c6b05f,fd962109,1,55,0,0,0,0,1,0,0,0,29,0,0,0,0.1,0.1,0.0,1,0,9,18,50.0,0,13,0,3,2,2020-11-02,f2b91282
Premier League,Matchweek 9,L 0–1,60c6b05f,19538871,1,90,0,0,0,0,1,0,0,0,49,0,2,1,0.0,0.0,0.1,4,0,24,37,64.9,2,34,3,5,5,2020-11-21,50004f43
Premier League,Matchweek 10,W 1–0,60c6b05f,1df6b87e,1,90,0,0,0,0,3,0,1,0,67,1,1,0,0.2,0.2,0.4,14,0,42,56,75.0,8,34,7,2,2,2020-11-28,bd68404c
Premier League,Matchweek 11,L 1–5,60c6b05f,47c64c55,1,33,0,0,0,0,1,1,0,1,20,0,0,1,0.1,0.1,0.1,3,0,15,18,83.3,2,11,1,0,0,2020-12-06,ac9d70e3
Premier League,Matchweek 15,D 1–1,60c6b05f,822bd0ba,0,18,0,1,0,0,0,0,0,0,10,1,0,1,0.0,0.0,0.1,1,1,4,6,66.7,1,1,0,0,0,2020-12-27,daa09f69
Premier League,Matchweek 16,L 0–5,60c6b05f,5bfb9659,0,30,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,1,0,0,0,2020-12-29,21f2b720
Premier League,Matchweek 17,L 0–4,60c6b05f,18bb7c10,1,90,0,0,0,0,0,0,0,0,45,1,3,1,0.0,0.0,0.4,2,0,30,34,88.2,2,24,1,2,1,2021-01-02,a56531b0
Premier League,Matchweek 19,W 3–2,60c6b05f,8cec06e1,1,82,2,0,2,2,1,1,0,0,43,1,0,1,1.6,0.0,0.1,6,0,26,32,81.3,7,22,2,1,1,2021-01-16,93420516
Premier League,Matchweek 18,L 1–2,60c6b05f,7c21e445,1,90,1,0,0,0,3,1,0,0,44,2,1,0,0.1,0.1,0.0,1,0,30,34,88.2,3,26,6,3,2,2021-01-19,42daddbb
Premier League,Matchweek 20,L 0–5,60c6b05f,b8fd03ef,1,90,0,0,0,0,0,0,0,0,37,1,3,0,0.0,0.0,0.1,2,0,17,29,58.6,2,14,1,1,0,2021-01-26,83f7b656
Premier League,Matchweek 21,D 2–2,60c6b05f,fd962109,1,90,1,0,0,0,2,1,0,0,45,1,1,1,0.4,0.4,0.0,0,0,24,38,63.2,6,20,2,3,3,2021-01-30,d1517c30
Premier League,Matchweek 22,L 1–2,60c6b05f,1df6b87e,1,90,0,0,0,0,2,0,1,0,39,2,0,0,0.1,0.1,0.0,3,0,22,30,73.3,2,20,1,3,0,2021-02-02,2d3d863d
Premier League,Matchweek 23,L 0–2,60c6b05f,361ca564,0,11,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.1,1,0,7,9,77.8,2,5,0,2,1,2021-02-07,4a652b81
Premier League,Matchweek 24,D 1–1,60c6b05f,19538871,1,90,0,0,0,0,1,0,0,0,39,0,0,1,0.1,0.1,0.1,2,0,26,34,76.5,3,16,2,0,0,2021-02-14,80124feb
Premier League,Matchweek 25,D 0–0,60c6b05f,943e8050,1,90,0,0,0,0,6,2,0,0,38,3,0,0,0.8,0.8,0.8,4,0,13,28,46.4,3,20,4,2,1,2021-02-20,072e8501
Premier League,Matchweek 26,W 1–0,60c6b05f,d07537b9,1,78,0,0,0,0,0,0,0,0,31,2,1,1,0.0,0.0,0.3,4,0,11,22,50.0,3,10,1,0,0,2021-02-27,ff18265a
Premier League,Matchweek 29,L 0–1,60c6b05f,d3fd31cc,1,90,0,0,0,0,3,1,0,0,79,0,3,1,0.2,0.2,0.0,4,0,48,66,72.7,9,46,4,2,1,2021-03-04,ee055741
Premier League,Matchweek 27,D 0–0,60c6b05f,b2b47a98,1,90,0,0,0,0,1,1,0,0,71,0,2,1,0.1,0.1,0.3,5,0,43,62,69.4,7,38,4,3,2,2021-03-07,a096c32f
Premier League,Matchweek 28,L 0–1,60c6b05f,47c64c55,1,62,0,0,0,0,1,0,0,0,39,1,0,0,0.0,0.0,0.1,6,0,27,30,90.0,4,19,2,3,1,2021-03-13,29954372
Premier League,Matchweek 30,W 5–2,60c6b05f,cff3d9bb,1,90,2,2,0,0,6,4,0,0,45,1,1,0,0.6,0.6,0.8,8,3,25,32,78.1,4,31,3,4,2,2021-04-03,c5d6a493
Premier League,Matchweek 31,W 3–0,60c6b05f,33c895d4,1,90,1,0,1,1,2,1,0,0,42,1,1,0,1.0,0.2,0.3,6,2,20,31,64.5,1,25,3,2,1,2021-04-12,3dee3681
Premier League,Matchweek 32,L 0–3,60c6b05f,a2d435b3,1,72,0,0,0,0,0,0,0,0,27,0,0,1,0.0,0.0,0.1,1,0,18,25,72.0,0,11,0,0,0,2021-04-22,be6edfdf
Premier League,Matchweek 33,D 2–2,60c6b05f,8602292d,1,90,1,0,1,1,3,1,0,0,43,3,0,0,1.0,0.2,0.1,3,0,21,30,70.0,3,22,4,2,2,2021-04-25,2ab535fa
Premier League,Matchweek 34,D 1–1,60c6b05f,8cec06e1,1,90,0,0,0,0,0,0,0,0,47,0,1,0,0.0,0.0,0.2,5,0,27,37,73.0,4,31,2,3,1,2021-05-03,378a8a95
Premier League,Matchweek 35,L 1–3,60c6b05f,18bb7c10,1,90,1,0,0,0,5,1,0,0,50,1,1,0,0.2,0.2,0.8,4,0,32,40,80.0,4,28,6,3,0,2021-05-09,49369ed5
Premier League,Matchweek 36,L 1–2,60c6b05f,822bd0ba,1,90,0,1,0,0,2,1,0,0,39,1,1,0,0.1,0.1,0.4,5,1,20,29,69.0,3,23,2,2,2,2021-05-16,6a834f6e
Premier League,Matchweek 37,L 1–3,60c6b05f,7c21e445,1,90,1,0,0,0,6,3,0,0,63,0,1,0,0.4,0.4,0.0,4,0,33,49,67.3,2,44,9,5,3,2021-05-19,88927a77
